alert_id,timestamp,month,source,rule_name,severity,mitre_tactic,disposition,escalated_to_incident,analyst,shift
ALT-000011,2026-03-01 06:02:40,2026-03,SIEM,New privileged account,Low,Collection,Duplicate,No,s.khatun,Morning
ALT-000006,2026-03-01 06:28:44,2026-03,EDR,Unsigned driver load,Medium,Collection,False Positive,No,m.hasan,Morning
ALT-000007,2026-03-01 11:35:24,2026-03,EDR,Unsigned driver load,Low,Credential Access,False Positive,No,t.begum,Morning
ALT-000009,2026-03-01 11:38:42,2026-03,SIEM,Brute-force logon burst,Medium,Defense Evasion,True Positive,Yes,m.hasan,Morning
ALT-000013,2026-03-01 11:41:38,2026-03,SIEM,Brute-force logon burst,Medium,Initial Access,Benign True Positive,No,n.akter,Morning
ALT-000001,2026-03-01 11:42:39,2026-03,EDR,Unsigned driver load,High,Collection,False Positive,No,s.khatun,Morning
ALT-000003,2026-03-01 12:49:57,2026-03,IDS,EternalBlue exploit,Low,Privilege Escalation,False Positive,No,a.rahman,Morning
ALT-000010,2026-03-01 13:05:27,2026-03,IDS,Nmap scan,Low,Initial Access,True Positive,No,a.rahman,Morning
ALT-000008,2026-03-01 14:32:09,2026-03,Email-GW,Business email compromise,Low,Credential Access,False Positive,No,n.akter,Evening
ALT-000012,2026-03-01 18:49:09,2026-03,IDS,Cobalt Strike beacon,Medium,Discovery,False Positive,No,s.khatun,Evening
ALT-000002,2026-03-01 20:30:12,2026-03,IDS,SMB lateral movement,High,Defense Evasion,False Positive,No,m.hasan,Evening
ALT-000005,2026-03-01 20:49:14,2026-03,IDS,EternalBlue exploit,Medium,Command and Control,Duplicate,No,m.hasan,Evening
ALT-000004,2026-03-01 20:57:38,2026-03,IDS,Nmap scan,Low,Command and Control,True Positive,No,r.islam,Evening
ALT-000021,2026-03-02 06:05:56,2026-03,SIEM,New privileged account,Low,Privilege Escalation,Duplicate,No,a.rahman,Morning
ALT-000026,2026-03-02 07:28:16,2026-03,SIEM,Brute-force logon burst,Low,Collection,True Positive,No,r.islam,Morning
ALT-000025,2026-03-02 07:28:59,2026-03,EDR,Credential dumping tool,Low,Execution,Duplicate,No,s.khatun,Morning
ALT-000020,2026-03-02 10:06:54,2026-03,SIEM,Mass file download,Low,Execution,False Positive,No,r.islam,Morning
ALT-000017,2026-03-02 10:21:25,2026-03,EDR,LOLBin execution,Medium,Discovery,Benign True Positive,No,s.khatun,Morning
ALT-000032,2026-03-02 10:25:42,2026-03,IDS,Cobalt Strike beacon,Medium,Impact,False Positive,No,a.rahman,Morning
ALT-000029,2026-03-02 10:49:39,2026-03,Email-GW,Spoofed internal sender,Low,Lateral Movement,False Positive,No,t.begum,Morning
ALT-000019,2026-03-02 11:15:01,2026-03,EDR,Ransomware canary file,High,Defense Evasion,False Positive,No,t.begum,Morning
ALT-000014,2026-03-02 12:53:15,2026-03,Email-GW,Phishing URL,Medium,Execution,False Positive,No,t.begum,Morning
ALT-000016,2026-03-02 14:00:51,2026-03,SIEM,Brute-force logon burst,Critical,Collection,Benign True Positive,No,a.rahman,Evening
ALT-000023,2026-03-02 15:28:37,2026-03,SIEM,Logon from disabled account,Low,Initial Access,False Positive,No,a.rahman,Evening
ALT-000022,2026-03-02 15:36:02,2026-03,Firewall,Inbound port scan,High,Defense Evasion,False Positive,No,m.hasan,Evening
ALT-000024,2026-03-02 16:24:43,2026-03,WAF,Web shell upload,Medium,Persistence,False Positive,No,r.islam,Evening
ALT-000031,2026-03-02 16:58:41,2026-03,CASB,SaaS impossible travel,Medium,Lateral Movement,True Positive,No,t.begum,Evening
ALT-000027,2026-03-02 17:00:07,2026-03,EDR,LOLBin execution,Low,Lateral Movement,True Positive,No,r.islam,Evening
ALT-000028,2026-03-02 17:50:03,2026-03,SIEM,Logon from disabled account,Medium,Lateral Movement,Duplicate,No,m.hasan,Evening
ALT-000018,2026-03-02 18:54:04,2026-03,Firewall,Inbound port scan,Low,Collection,True Positive,No,m.hasan,Evening
ALT-000015,2026-03-02 19:17:52,2026-03,WAF,Path traversal,Medium,Impact,False Positive,No,n.akter,Evening
ALT-000030,2026-03-02 23:15:08,2026-03,SIEM,Logon from disabled account,Medium,Impact,False Positive,No,a.rahman,Night
ALT-000034,2026-03-03 02:17:43,2026-03,Firewall,Inbound port scan,Low,Discovery,False Positive,No,t.begum,Night
ALT-000044,2026-03-03 05:20:31,2026-03,Firewall,Tor exit node traffic,Medium,Credential Access,False Positive,No,n.akter,Night
ALT-000049,2026-03-03 05:52:46,2026-03,EDR,Suspicious PowerShell,Low,Initial Access,False Positive,No,n.akter,Night
ALT-000038,2026-03-03 06:30:19,2026-03,Firewall,Outbound to known C2,Low,Execution,False Positive,No,t.begum,Morning
ALT-000037,2026-03-03 07:12:11,2026-03,SIEM,Logon from disabled account,Low,Exfiltration,False Positive,No,a.rahman,Morning
ALT-000059,2026-03-03 07:49:51,2026-03,SIEM,Impossible travel,Low,Command and Control,False Positive,No,r.islam,Morning
ALT-000048,2026-03-03 07:53:00,2026-03,SIEM,Brute-force logon burst,High,Discovery,Benign True Positive,No,n.akter,Morning
ALT-000053,2026-03-03 08:56:33,2026-03,SIEM,Mass file download,Low,Collection,True Positive,No,s.khatun,Morning
ALT-000039,2026-03-03 09:39:35,2026-03,Firewall,Inbound port scan,Medium,Exfiltration,Duplicate,No,r.islam,Morning
ALT-000035,2026-03-03 10:01:19,2026-03,SIEM,Mass file download,High,Persistence,True Positive,No,r.islam,Morning
ALT-000050,2026-03-03 10:01:30,2026-03,Firewall,Outbound to known C2,Medium,Persistence,False Positive,No,r.islam,Morning
ALT-000057,2026-03-03 10:04:13,2026-03,WAF,Path traversal,Low,Privilege Escalation,Duplicate,No,n.akter,Morning
ALT-000058,2026-03-03 10:33:10,2026-03,SIEM,Brute-force logon burst,Critical,Lateral Movement,False Positive,No,n.akter,Morning
ALT-000055,2026-03-03 11:37:47,2026-03,Firewall,DNS tunneling pattern,High,Collection,False Positive,No,s.khatun,Morning
ALT-000040,2026-03-03 11:42:14,2026-03,WAF,XSS attempt,High,Execution,False Positive,No,s.khatun,Morning
ALT-000043,2026-03-03 12:42:42,2026-03,SIEM,Logon from disabled account,Medium,Impact,Benign True Positive,No,r.islam,Morning
ALT-000041,2026-03-03 14:42:08,2026-03,SIEM,Brute-force logon burst,Low,Execution,Duplicate,No,n.akter,Evening
ALT-000047,2026-03-03 15:49:29,2026-03,IDS,Nmap scan,Low,Discovery,False Positive,No,n.akter,Evening
ALT-000052,2026-03-03 16:05:50,2026-03,IDS,SMB lateral movement,Medium,Privilege Escalation,False Positive,No,s.khatun,Evening
ALT-000051,2026-03-03 16:13:56,2026-03,Firewall,Inbound port scan,Low,Impact,Benign True Positive,No,n.akter,Evening
ALT-000033,2026-03-03 16:22:12,2026-03,EDR,Process hollowing,High,Credential Access,False Positive,No,a.rahman,Evening
ALT-000042,2026-03-03 16:48:09,2026-03,SIEM,Logon from disabled account,Medium,Collection,False Positive,No,t.begum,Evening
ALT-000046,2026-03-03 17:17:02,2026-03,WAF,XSS attempt,Medium,Credential Access,False Positive,No,m.hasan,Evening
ALT-000045,2026-03-03 17:39:44,2026-03,Firewall,Geo-blocked destination,Critical,Initial Access,True Positive,Yes,t.begum,Evening
ALT-000056,2026-03-03 18:11:43,2026-03,SIEM,New privileged account,Low,Execution,Duplicate,No,m.hasan,Evening
ALT-000054,2026-03-03 19:55:36,2026-03,Email-GW,Business email compromise,Low,Collection,False Positive,No,s.khatun,Evening
ALT-000036,2026-03-03 21:00:08,2026-03,SIEM,Brute-force logon burst,Low,Collection,False Positive,No,n.akter,Evening
ALT-000084,2026-03-04 02:53:06,2026-03,SIEM,Impossible travel,Low,Persistence,False Positive,No,t.begum,Night
ALT-000067,2026-03-04 06:07:29,2026-03,SIEM,Brute-force logon burst,Low,Persistence,Duplicate,No,a.rahman,Morning
ALT-000061,2026-03-04 06:30:37,2026-03,SIEM,Mass file download,Low,Initial Access,False Positive,No,r.islam,Morning
ALT-000078,2026-03-04 08:19:13,2026-03,IDS,Cobalt Strike beacon,Low,Lateral Movement,True Positive,No,a.rahman,Morning
ALT-000066,2026-03-04 08:33:40,2026-03,SIEM,Impossible travel,Medium,Exfiltration,False Positive,No,m.hasan,Morning
ALT-000085,2026-03-04 08:42:59,2026-03,Email-GW,Malicious attachment,Critical,Impact,True Positive,Yes,s.khatun,Morning
ALT-000060,2026-03-04 08:51:51,2026-03,Firewall,Inbound port scan,Low,Persistence,False Positive,No,t.begum,Morning
ALT-000068,2026-03-04 09:29:08,2026-03,Email-GW,Business email compromise,Medium,Command and Control,False Positive,No,n.akter,Morning
ALT-000062,2026-03-04 10:30:33,2026-03,EDR,Unsigned driver load,Low,Execution,False Positive,No,m.hasan,Morning
ALT-000080,2026-03-04 10:34:44,2026-03,EDR,Credential dumping tool,Low,Persistence,False Positive,No,m.hasan,Morning
ALT-000079,2026-03-04 10:36:45,2026-03,Firewall,DNS tunneling pattern,Low,Privilege Escalation,True Positive,No,a.rahman,Morning
ALT-000089,2026-03-04 10:38:28,2026-03,EDR,Ransomware canary file,Low,Collection,Benign True Positive,No,r.islam,Morning
ALT-000077,2026-03-04 10:40:16,2026-03,EDR,Ransomware canary file,Low,Impact,False Positive,No,s.khatun,Morning
ALT-000075,2026-03-04 10:41:46,2026-03,SIEM,Mass file download,Low,Exfiltration,True Positive,No,r.islam,Morning
ALT-000086,2026-03-04 11:09:27,2026-03,EDR,Suspicious PowerShell,Medium,Discovery,False Positive,No,m.hasan,Morning
ALT-000071,2026-03-04 11:37:14,2026-03,EDR,Unsigned driver load,Medium,Discovery,True Positive,No,m.hasan,Morning
ALT-000063,2026-03-04 12:00:20,2026-03,EDR,Process hollowing,High,Lateral Movement,False Positive,No,s.khatun,Morning
ALT-000081,2026-03-04 12:18:07,2026-03,IDS,Nmap scan,Low,Defense Evasion,False Positive,No,t.begum,Morning
ALT-000088,2026-03-04 13:26:15,2026-03,EDR,Credential dumping tool,High,Credential Access,Benign True Positive,No,a.rahman,Morning
ALT-000076,2026-03-04 13:32:54,2026-03,Email-GW,Spoofed internal sender,Low,Defense Evasion,Benign True Positive,No,r.islam,Morning
ALT-000074,2026-03-04 13:41:43,2026-03,SIEM,Brute-force logon burst,Low,Credential Access,False Positive,No,m.hasan,Morning
ALT-000082,2026-03-04 13:53:31,2026-03,CASB,OAuth grant to risky app,Medium,Command and Control,False Positive,No,m.hasan,Morning
ALT-000069,2026-03-04 13:57:42,2026-03,IDS,EternalBlue exploit,Medium,Exfiltration,False Positive,No,r.islam,Morning
ALT-000083,2026-03-04 14:05:08,2026-03,Email-GW,Business email compromise,Medium,Execution,Benign True Positive,No,r.islam,Evening
ALT-000065,2026-03-04 14:17:47,2026-03,SIEM,Logon from disabled account,Medium,Privilege Escalation,Benign True Positive,No,t.begum,Evening
ALT-000072,2026-03-04 14:23:23,2026-03,EDR,Process hollowing,High,Impact,Benign True Positive,No,n.akter,Evening
ALT-000070,2026-03-04 14:56:20,2026-03,EDR,Credential dumping tool,Medium,Credential Access,False Positive,No,s.khatun,Evening
ALT-000073,2026-03-04 15:09:55,2026-03,SIEM,Impossible travel,High,Exfiltration,True Positive,Yes,s.khatun,Evening
ALT-000064,2026-03-04 16:09:40,2026-03,EDR,Ransomware canary file,High,Impact,False Positive,No,m.hasan,Evening
ALT-000090,2026-03-04 16:45:00,2026-03,WAF,XSS attempt,Medium,Initial Access,False Positive,No,n.akter,Evening
ALT-000087,2026-03-04 19:42:35,2026-03,SIEM,Mass file download,Critical,Persistence,Duplicate,No,t.begum,Evening
ALT-000098,2026-03-05 06:36:15,2026-03,WAF,XSS attempt,Medium,Initial Access,False Positive,No,a.rahman,Morning
ALT-000106,2026-03-05 06:36:58,2026-03,SIEM,New privileged account,Low,Persistence,False Positive,No,n.akter,Morning
ALT-000108,2026-03-05 09:24:03,2026-03,SIEM,New privileged account,High,Collection,Duplicate,No,s.khatun,Morning
ALT-000102,2026-03-05 09:44:38,2026-03,SIEM,Brute-force logon burst,Medium,Discovery,True Positive,No,a.rahman,Morning
ALT-000091,2026-03-05 11:40:46,2026-03,EDR,Ransomware canary file,Medium,Command and Control,Benign True Positive,No,n.akter,Morning
ALT-000110,2026-03-05 11:52:57,2026-03,SIEM,Audit log cleared,Medium,Persistence,Duplicate,No,t.begum,Morning
ALT-000093,2026-03-05 12:15:03,2026-03,Firewall,Inbound port scan,Low,Command and Control,False Positive,No,n.akter,Morning
ALT-000092,2026-03-05 12:17:19,2026-03,SIEM,Logon from disabled account,Low,Defense Evasion,True Positive,No,t.begum,Morning
