---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:53:37 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 262
capture.afpacket.polls                                       | Total                     | 728
capture.afpacket.poll_timeout                                | Total                     | 622
capture.afpacket.poll_data                                   | Total                     | 106
decoder.pkts                                                 | Total                     | 504
decoder.bytes                                                | Total                     | 1500895
decoder.ipv4                                                 | Total                     | 496
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 504
decoder.tcp                                                  | Total                     | 504
tcp.syn                                                      | Total                     | 10
tcp.synack                                                   | Total                     | 6
tcp.rst                                                      | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 2977
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 14
flow.active                                                  | Total                     | 14
flow.tcp                                                     | Total                     | 14
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 7
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.invalid_checksum                                         | Total                     | 291
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9300
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 8
flow.mgr.flows_notimeout                                     | Total                     | 8
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 8/26/2026 -- 23:53:45 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 2171
capture.afpacket.polls                                       | Total                     | 1967
capture.afpacket.poll_timeout                                | Total                     | 1608
capture.afpacket.poll_data                                   | Total                     | 359
decoder.pkts                                                 | Total                     | 2189
decoder.bytes                                                | Total                     | 4987008
decoder.ipv4                                                 | Total                     | 2159
decoder.ipv6                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 2189
decoder.tcp                                                  | Total                     | 2185
tcp.syn                                                      | Total                     | 63
tcp.synack                                                   | Total                     | 50
tcp.rst                                                      | Total                     | 27
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 2278
decoder.max_pkt_size                                         | Total                     | 32834
tcp.active_sessions                                          | Total                     | 22
flow.total                                                   | Total                     | 74
flow.active                                                  | Total                     | 74
flow.tcp                                                     | Total                     | 72
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 12
tcp.sessions                                                 | Total                     | 22
tcp.ssn_from_pool                                            | Total                     | 22
tcp.invalid_checksum                                         | Total                     | 1194
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 10100
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 57
flow.mgr.flows_notimeout                                     | Total                     | 57
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
